ATL HAWKS, 0012200023, Oct 6, vs MIL, 113 - 123, Etihad Arena, Preseason
ATL HAWKS, 0012200036, Oct 8, @ MIL, 109 - 118, Etihad Arena, Preseason
ATL HAWKS, 0012200052, Oct 12, @ CLE, 105 - 99, Rocket Mortgage FieldHouse, Preseason
ATL HAWKS, 0012200067, Oct 14, @ NOP, 120 - 111, Legacy Arena at the BJCC, Preseason
ATL HAWKS, 0022200005, Oct 19, vs HOU, 107 - 117, State Farm Arena, Week 1
ATL HAWKS, 0022200020, Oct 21, vs ORL, 98 - 108, State Farm Arena, Week 1
ATL HAWKS, 0022200038, Oct 23, vs CHA, 126 - 109, State Farm Arena, Week 1
ATL HAWKS, 0022200057, Oct 26, @ DET, 113 - 118, Little Caesars Arena, Week 2
ATL HAWKS, 0022200070, Oct 28, @ DET, 112 - 136, Little Caesars Arena, Week 2
ATL HAWKS, 0022200085, Oct 29, @ MIL, 123 - 115, Fiserv Forum, Week 2
ATL HAWKS, 0022200099, Oct 31, @ TOR, 139 - 109, Scotiabank Arena, Week 3
ATL HAWKS, 0022200110, Nov 2, @ NYK, 99 - 112, Madison Square Garden, Week 3
ATL HAWKS, 0022200134, Nov 5, vs NOP, 121 - 124, State Farm Arena, Week 3
ATL HAWKS, 0022200149, Nov 7, vs MIL, 98 - 117, State Farm Arena, Week 4
ATL HAWKS, 0022200162, Nov 9, vs UTA, 125 - 119, State Farm Arena, Week 4
ATL HAWKS, 0022200173, Nov 10, vs PHI, 95 - 104, State Farm Arena, Week 4
ATL HAWKS, 0022200188, Nov 12, @ PHI, 121 - 109, Wells Fargo Center, Week 4
ATL HAWKS, 0022200204, Nov 14, @ MIL, 106 - 121, Fiserv Forum, Week 5
ATL HAWKS, 0022200214, Nov 16, vs BOS, 126 - 101, State Farm Arena, Week 5
ATL HAWKS, 0022200235, Nov 19, vs TOR, 122 - 124, State Farm Arena, Week 5
ATL HAWKS, 0022200248, Nov 21, @ CLE, 114 - 102, Rocket Mortgage FieldHouse, Week 6
ATL HAWKS, 0022200263, Nov 23, vs SAC, 106 - 115, State Farm Arena, Week 6
ATL HAWKS, 0022200278, Nov 25, @ HOU, 128 - 122, Toyota Center, Week 6
ATL HAWKS, 0022200293, Nov 27, vs MIA, 106 - 98, State Farm Arena, Week 6
ATL HAWKS, 0022200299, Nov 28, @ PHI, 104 - 101, Wells Fargo Center, Week 7
ATL HAWKS, 0022200313, Nov 30, @ ORL, 108 - 125, Amway Center, Week 7
ATL HAWKS, 0022200327, Dec 2, vs DEN, 109 - 117, State Farm Arena, Week 7
ATL HAWKS, 0022200354, Dec 5, vs OKC, 121 - 114, State Farm Arena, Week 8
ATL HAWKS, 0022200365, Dec 7, @ NYK, 113 - 89, Madison Square Garden, Week 8
ATL HAWKS, 0022200380, Dec 9, @ BKN, 120 - 116, Barclays Center, Week 8
ATL HAWKS, 0022200400, Dec 11, vs CHI, 122 - 123, State Farm Arena, Week 8
ATL HAWKS, 0022200404, Dec 12, @ MEM, 128 - 103, FedExForum, Week 9
ATL HAWKS, 0022200416, Dec 14, @ ORL, 135 - 124, Amway Center, Week 9
ATL HAWKS, 0022200428, Dec 16, @ CHA, 106 - 125, Spectrum Center, Week 9
ATL HAWKS, 0022200454, Dec 19, vs ORL, 125 - 126, State Farm Arena, Week 10
ATL HAWKS, 0022200468, Dec 21, vs CHI, 110 - 108, State Farm Arena, Week 10
ATL HAWKS, 0022200481, Dec 23, vs DET, 105 - 130, State Farm Arena, Week 10
ATL HAWKS, 0022200508, Dec 27, @ IND, 129 - 114, Gainbridge Fieldhouse, Week 11
ATL HAWKS, 0022200517, Dec 28, vs BKN, 108 - 107, State Farm Arena, Week 11
ATL HAWKS, 0022200530, Dec 30, vs LAL, 130 - 121, State Farm Arena, Week 11
ATL HAWKS, 0022200558, Jan 2, @ GSW, 143 - 141, Chase Center, Week 12
ATL HAWKS, 0022200575, Jan 4, @ SAC, 117 - 120, Golden 1 Center, Week 12
ATL HAWKS, 0022200590, Jan 6, @ LAL, 130 - 114, Crypto.com Arena, Week 12
ATL HAWKS, 0022200604, Jan 8, @ LAC, 108 - 112, Crypto.com Arena, Week 12
ATL HAWKS, 0022200620, Jan 11, vs MIL, 114 - 105, State Farm Arena, Week 13
ATL HAWKS, 0022200633, Jan 13, @ IND, 111 - 113, Gainbridge Fieldhouse, Week 13
ATL HAWKS, 0022200644, Jan 14, @ TOR, 103 - 114, Scotiabank Arena, Week 13
ATL HAWKS, 0022200661, Jan 16, vs MIA, 113 - 121, State Farm Arena, Week 14
ATL HAWKS, 0022200670, Jan 18, @ DAL, 122 - 130, American Airlines Center, Week 14
ATL HAWKS, 0022200684, Jan 20, vs NYK, 124 - 139, State Farm Arena, Week 14
ATL HAWKS, 0022200694, Jan 21, vs CHA, 122 - 118, State Farm Arena, Week 14
ATL HAWKS, 0022200708, Jan 23, @ CHI, 111 - 100, United Center, Week 15
